index,usage,limit,active_anon,active_file,anon,anon_thp,file,file_dirty,file_mapped,file_writeback,inactive_anon,inactive_file,kernel_stack,pgactivate,pgdeactivate,pgfault,pglazyfree,pglazyfreed,pgmajfault,pgrefill,pgscan,pgsteal,shmem,slab,slab_reclaimable,slab_unreclaimable,sock,thp_collapse_alloc,thp_fault_alloc,unevictable,workingset_activate,workingset_nodereclaim,workingset_refault,timestamp
0,21970944,8219820032,19304448,0,4476928,0,15364096,0,11186176,0,0,536576,98304,0,0,483339,0,0,0,0,0,0,14827520,1064328,286704,777624,0,0,2,0,0,0,0,2024-07-28 03:30:49+0900
1,21970944,8219820032,19304448,0,4476928,0,15364096,0,11186176,0,0,536576,98304,0,0,483339,0,0,0,0,0,0,14827520,1064328,286704,777624,0,0,2,0,0,0,0,2024-07-28 03:30:55+0900
2,22179840,8219820032,19271680,0,4476928,0,15364096,0,11186176,0,0,536576,98304,0,0,484397,0,0,0,0,0,0,14827520,1068392,286704,781688,0,0,2,0,0,0,0,2024-07-28 03:31:03+0900
